=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.08.26 15:24:21 =~=~=~=~=~=~=~=~=~=~=~=,,,,,
,,,,,
Tiempo ,CONTROL,VELOCIDA,REFERENC,,
0.82,-0.079,-0.003,0,,
0.825,-0.083,0.003,0,,
0.83,-0.081,0,0,,
0.835,-0.079,-0.003,0,,
0.84,-0.079,-0.003,0,,
0.845,-0.081,0,0,,
0.85,-0.079,-0.003,0,,
0.855,-0.078,-0.003,0,,
0.86,-0.081,0,0,,
0.865,-0.081,0,0,,
0.87,-0.081,0,0,,
0.875,-0.081,0,0,,
0.88,-0.081,0,0,,
0.885,-0.081,0,0,,
0.89,-0.081,0,0,,
0.895,-0.078,-0.003,0,,
0.9,-0.078,-0.003,0,,
0.905,-0.08,0,0,,
0.91,-0.078,-0.003,0,,
0.915,-0.078,-0.003,0,,
0.92,-0.08,0,0,,
0.925,-0.08,0,0,,
0.93,-0.08,0,0,,
0.935,-0.078,-0.003,0,,
0.94,-0.078,-0.003,0,,
0.945,-0.08,0,0,,
0.95,-0.075,-0.005,0,,
0.955,-0.077,-0.003,0,,
0.96,-0.079,0,0,,
0.965,-0.079,0,0,,
0.97,-0.077,-0.003,0,,
0.975,-0.079,0,0,,
0.98,-0.079,0,0,,
0.985,-0.077,-0.003,0,,
0.99,-0.077,-0.003,0,,
0.995,-0.079,0,0,,
1,3.367,0,4,,
1.005,3.23,0.382,4,,
1.01,3.104,0.73,4,,
1.015,3.022,1.007,4,,
1.02,2.989,1.213,4,,
1.025,2.961,1.4,4,,
1.03,2.974,1.53,4,,
1.035,2.972,1.67,4,,
1.04,2.972,1.8,4,,
1.045,3.043,1.84,4,,
1.05,3.028,1.977,4,,
1.055,3.048,2.068,4,,
1.06,3.069,2.15,4,,
1.065,3.074,2.247,4,,
1.07,3.117,2.295,4,,
1.075,3.104,2.405,4,,
1.08,3.125,2.47,4,,
1.085,3.14,2.537,4,,
1.09,3.126,2.635,4,,
1.095,3.198,2.628,4,,
1.1,3.15,2.76,4,,
1.105,3.222,2.745,4,,
1.11,3.153,2.895,4,,
1.115,3.224,2.875,4,,
1.12,3.207,2.957,4,,
1.125,3.211,3.01,4,,
1.13,3.203,3.075,4,,
1.135,3.187,3.145,4,,
1.14,3.232,3.14,4,,
1.145,3.198,3.227,4,,
1.15,3.235,3.227,4,,
1.155,3.216,3.293,4,,
1.16,3.255,3.288,4,,
1.165,3.265,3.315,4,,
1.17,3.201,3.428,4,,
1.175,3.25,3.402,4,,
1.18,3.231,3.457,4,,
1.185,3.199,3.525,4,,
1.19,3.254,3.487,4,,
1.195,3.182,3.6,4,,
1.2,3.225,3.572,4,,
1.205,3.246,3.572,4,,
1.21,3.176,3.677,4,,
1.215,3.23,3.632,4,,
1.22,3.228,3.655,4,,
1.225,3.161,3.753,4,,
1.23,3.203,3.717,4,,
1.235,3.24,3.69,4,,
1.24,3.151,3.81,4,,
1.245,3.156,3.815,4,,
1.25,3.204,3.77,4,,
1.255,3.189,3.8,4,,
1.26,3.184,3.817,4,,
